session_id,message_id,last_throttle_ts,inv_end_status,has_output,inv_end_after_error,verdict
conv_000018,5aa0d471-6f17-4cc3-89ea-2ea148334304,2026-06-09T13:44:57.236487+00:00,success,True,True,responded
conv_000019,6e30b1c2-8085-405b-898b-03e9b1785069,2026-06-09T13:44:56.431557+00:00,success,True,True,responded
conv_000020,95e45bcc-2f79-473f-b093-44b6664a1d3d,2026-06-09T13:45:10.997074+00:00,success,True,True,responded
conv_000022,ef59122a-7933-48f0-847a-76cdb37fd37e,2026-06-09T13:48:38.165057+00:00,success,True,True,responded
conv_000027,17bb9dd0-b433-40ef-8bcf-5f3ad7ebe57d,2026-06-09T15:31:26.705564+00:00,success,True,True,responded
conv_000042,e005e3ea-f579-4c6e-a706-ddeb2558cc2b,2026-06-09T13:50:38.792465+00:00,success,True,True,responded
conv_000043,7c63c267-4bc4-4c40-8103-c929695f4d7c,2026-06-09T13:51:42.043582+00:00,success,True,True,responded
conv_000044,26b43920-69af-4f85-9579-b067c2f8c972,2026-06-09T13:50:46.164171+00:00,success,True,True,responded
conv_000046,afc5aa3b-ce40-4f78-8397-7765e2b7971a,2026-06-09T13:49:14.898887+00:00,success,True,True,responded
conv_000047,4cbd2b66-1761-49ca-ad75-0146b96bd6f7,2026-06-09T13:50:16.508463+00:00,success,True,True,responded
conv_000050,04cb2c2d-3ee8-4c6b-a892-e1fcb7eebf54,2026-06-09T13:52:05.109175+00:00,success,True,True,responded
conv_000051,e0ebcc6d-1734-42f9-9305-9d74e9621338,2026-06-09T13:51:38.962951+00:00,success,True,True,responded
conv_000052,6e0cbca8-fd9e-4e61-8eb8-6334f4d430fe,2026-06-09T13:51:32.009717+00:00,success,True,True,responded
conv_000055,0bc08637-2bfd-464c-bcde-1873685674a8,2026-06-09T13:51:28.000128+00:00,success,True,True,responded
conv_000056,0e595b23-4867-49c4-a855-978b23ebe565,2026-06-09T13:51:41.197358+00:00,success,True,True,responded
conv_000057,48d44803-bd7b-47e6-9732-e5a3e96d9aba,2026-06-09T13:53:16.732488+00:00,success,True,True,responded
conv_000058,aaf6cb1d-5304-4b46-8f0f-a6e132cf7095,2026-06-09T13:53:18.861815+00:00,success,True,True,responded
conv_000061,cf4c3145-97fd-4eaa-b5d0-e18b3ecda859,2026-06-09T13:54:09.595298+00:00,success,True,True,responded
conv_000062,f3986073-988a-4f87-bffa-be0d2c17fbf2,2026-06-09T13:53:45.894469+00:00,success,True,True,responded
conv_000064,480d4224-ac67-480a-bc30-2d1fbc586c2f,2026-06-09T13:53:59.291145+00:00,success,True,True,responded
conv_000065,29363d3b-d5cd-4477-8927-bcd964f1a690,2026-06-09T13:57:21.997290+00:00,success,True,True,responded
conv_000066,98df678c-0af7-46d1-bab2-28365f93ae36,2026-06-09T13:55:28.814064+00:00,success,True,True,responded
conv_000067,c0d2933f-2861-4840-ab91-b416e0c05a82,2026-06-09T13:54:21.744277+00:00,success,True,True,responded
conv_000073,cc9a0d3a-b154-44d3-b20e-2ba06b7096e9,2026-06-09T13:55:35.752203+00:00,success,True,True,responded
conv_000074,96c24ea1-f758-46d0-98b8-954be74851fe,2026-06-09T13:55:20.763691+00:00,success,True,True,responded
